DATA INICIAL,DATA FINAL,ESTADO,CIDADE,PRODUTO,NUMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PRECO MEDIO REVENDA,DESVIO PADRAO REVENDA,PRECO MINIMO REVENDA,PRECO MAXIMO REVENDA,COEF DE VARIACAO REVENDA
8/4/2024,8/10/2024,SAO PAULO,ITANHAEM,ETANOL HIDRATADO,8,R$/l,"4,06","0,204","3,69","4,38","0,050"
8/4/2024,8/10/2024,SAO PAULO,ITAPECERICA DA SERRA,ETANOL HIDRATADO,8,R$/l,"3,87","0,080","3,79","3,99","0,021"
8/4/2024,8/10/2024,RIO DE JANEIRO,ITAPERUNA,ETANOL HIDRATADO,7,R$/l,"4,58","0,036","4,55","4,65","0,008"
8/4/2024,8/10/2024,SAO PAULO,ITAPETININGA,ETANOL HIDRATADO,10,R$/l,"4,20","0,300","3,64","4,39","0,071"
8/4/2024,8/10/2024,CEARA,ITAPIPOCA,ETANOL HIDRATADO,8,R$/l,"5,21","0,051","5,09","5,24","0,010"
8/4/2024,8/10/2024,SAO PAULO,ITAPOLIS,ETANOL HIDRATADO,8,R$/l,"3,72","0,169","3,59","4,09","0,045"
8/4/2024,8/10/2024,SAO PAULO,ITATIBA,ETANOL HIDRATADO,11,R$/l,"4,03","0,244","3,69","4,52","0,060"
8/4/2024,8/10/2024,MINAS GERAIS,ITAUNA,ETANOL HIDRATADO,8,R$/l,"4,18","0,122","4,14","4,49","0,029"
8/4/2024,8/10/2024,SAO PAULO,ITU,ETANOL HIDRATADO,9,R$/l,"3,94","0,238","3,59","4,29","0,060"
8/4/2024,8/10/2024,MINAS GERAIS,ITUIUTABA,ETANOL HIDRATADO,10,R$/l,"3,97","0,065","3,85","4,09","0,016"
8/4/2024,8/10/2024,GOIAS,ITUMBIARA,ETANOL HIDRATADO,10,R$/l,"4,17","0,603","3,97","5,89","0,144"
8/4/2024,8/10/2024,PERNAMBUCO,JABOATAO DOS GUARARAPES,ETANOL HIDRATADO,14,R$/l,"4,76","0,057","4,67","4,85","0,012"
8/4/2024,8/10/2024,SAO PAULO,JABOTICABAL,ETANOL HIDRATADO,9,R$/l,"4,13","0,044","4,09","4,19","0,011"
8/4/2024,8/10/2024,SAO PAULO,JACAREI,ETANOL HIDRATADO,13,R$/l,"3,84","0,074","3,69","3,99","0,019"
8/4/2024,8/10/2024,BAHIA,JACOBINA,ETANOL HIDRATADO,5,R$/l,"4,81","0,072","4,77","4,94","0,015"
8/4/2024,8/10/2024,SAO PAULO,JALES,ETANOL HIDRATADO,8,R$/l,"3,91","0,038","3,87","3,97","0,010"
8/4/2024,8/10/2024,MINAS GERAIS,JANAUBA,ETANOL HIDRATADO,7,R$/l,"4,09","0,286","3,86","4,45","0,070"
8/4/2024,8/10/2024,MINAS GERAIS,JANUARIA,ETANOL HIDRATADO,8,R$/l,"4,24","0,136","4,09","4,49","0,032"
8/4/2024,8/10/2024,SAO PAULO,JAU,ETANOL HIDRATADO,10,R$/l,"3,82","0,126","3,69","3,99","0,033"
8/4/2024,8/10/2024,BAHIA,JEQUIE,ETANOL HIDRATADO,12,R$/l,"4,47","0,113","4,39","4,79","0,025"
8/4/2024,8/10/2024,RONDONIA,JI-PARANA,ETANOL HIDRATADO,2,R$/l,"5,07","0,035","5,05","5,10","0,007"
8/4/2024,8/10/2024,MINAS GERAIS,JOAO MONLEVADE,ETANOL HIDRATADO,6,R$/l,"4,49","0,098","4,39","4,68","0,022"
8/4/2024,8/10/2024,PARAIBA,JOAO PESSOA,ETANOL HIDRATADO,19,R$/l,"4,66","0,056","4,57","4,79","0,012"
8/4/2024,8/10/2024,MINAS GERAIS,JOAO PINHEIRO,ETANOL HIDRATADO,7,R$/l,"4,27","0,032","4,25","4,32","0,007"
8/4/2024,8/10/2024,SANTA CATARINA,JOINVILLE,ETANOL HIDRATADO,14,R$/l,"4,25","0,112","4,12","4,49","0,026"
8/4/2024,8/10/2024,SAO PAULO,JOSE BONIFACIO,ETANOL HIDRATADO,8,R$/l,"3,74","0,129","3,59","3,89","0,035"
8/4/2024,8/10/2024,BAHIA,JUAZEIRO,ETANOL HIDRATADO,11,R$/l,"4,65","0,198","4,35","4,89","0,043"
8/4/2024,8/10/2024,CEARA,JUAZEIRO DO NORTE,ETANOL HIDRATADO,10,R$/l,"5,03","0,191","4,79","5,49","0,038"
8/4/2024,8/10/2024,MINAS GERAIS,JUIZ DE FORA,ETANOL HIDRATADO,15,R$/l,"4,30","0,270","4,04","4,99","0,063"
8/4/2024,8/10/2024,SAO PAULO,JUNDIAI,ETANOL HIDRATADO,17,R$/l,"3,98","0,145","3,69","4,26","0,036"
8/4/2024,8/10/2024,SERGIPE,LAGARTO,ETANOL HIDRATADO,4,R$/l,"4,76","0,143","4,65","4,95","0,030"
8/4/2024,8/10/2024,SANTA CATARINA,LAGUNA,ETANOL HIDRATADO,2,R$/l,"4,32","0,240","4,15","4,49","0,056"
8/4/2024,8/10/2024,RIO GRANDE DO SUL,LAJEADO,ETANOL HIDRATADO,2,R$/l,"4,99","0,000","4,99","4,99","0,000"
8/4/2024,8/10/2024,PERNAMBUCO,LAJEDO,ETANOL HIDRATADO,8,R$/l,"4,52","0,225","4,20","4,99","0,050"
8/4/2024,8/10/2024,MINAS GERAIS,LAVRAS,ETANOL HIDRATADO,7,R$/l,"4,16","0,242","3,89","4,49","0,058"
8/4/2024,8/10/2024,SAO PAULO,LIMEIRA,ETANOL HIDRATADO,15,R$/l,"3,86","0,133","3,67","4,09","0,034"
8/4/2024,8/10/2024,CEARA,LIMOEIRO DO NORTE,ETANOL HIDRATADO,11,R$/l,"5,18","0,051","5,15","5,29","0,010"
8/4/2024,8/10/2024,ESPIRITO SANTO,LINHARES,ETANOL HIDRATADO,4,R$/l,"4,47","0,035","4,42","4,49","0,008"
8/4/2024,8/10/2024,SAO PAULO,LINS,ETANOL HIDRATADO,10,R$/l,"3,67","0,179","3,46","4,06","0,049"
8/4/2024,8/10/2024,PARANA,LONDRINA,ETANOL HIDRATADO,19,R$/l,"4,04","0,166","3,74","4,29","0,041"
8/4/2024,8/10/2024,SAO PAULO,LORENA,ETANOL HIDRATADO,8,R$/l,"4,01","0,193","3,79","4,29","0,048"
8/4/2024,8/10/2024,GOIAS,LUZIANIA,ETANOL HIDRATADO,10,R$/l,"4,08","0,077","3,96","4,19","0,019"
8/4/2024,8/10/2024,RIO DE JANEIRO,MACAE,ETANOL HIDRATADO,7,R$/l,"4,64","0,113","4,59","4,89","0,024"
8/4/2024,8/10/2024,AMAPA,MACAPA,ETANOL HIDRATADO,4,R$/l,"5,11","0,302","4,69","5,39","0,059"
